Date,R1_SRP,R1_TP,R1_TDP,H1_SRP,H1_TP,H1_TDP
2005-12-16,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-17,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-18,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-19,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-20,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-21,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-22,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-23,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-24,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-25,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-26,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-27,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-28,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-29,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-30,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-31,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-01,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-02,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-03,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-04,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-05,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-06,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-07,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-08,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-09,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-10,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-11,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-12,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-13,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-14,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-15,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-16,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-17,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-18,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-19,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-20,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-21,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-22,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-23,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-24,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-25,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-26,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-27,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-28,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-29,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-30,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-01-31,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-01,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-02,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-03,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-04,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-05,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-06,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-07,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-08,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-09,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-10,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-11,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-12,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-13,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-14,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-15,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-16,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-17,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-18,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-19,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-20,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-21,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-22,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-23,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-24,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-25,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-26,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-02-27,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
