id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18424386,Heritage Home Vancouver/ Mount Pleasant,21665633,Shawna,,Mount Pleasant,49.26725,-123.11024,Entire home/apt,458,1,161,2020-10-14,2.50,1,348,0,21-156660
18450932,CoLIVE&CoWORKJapaneseTeaRoom/Garden/Jacuzzi/Sauna,93829739,Matthew,,Kerrisdale,49.23182,-123.14243,Private room,63,30,24,2022-07-15,0.37,6,32,3,
18451694,Garden Suite,127930252,June,,Kitsilano,49.26308,-123.17923,Entire home/apt,119,30,47,2018-09-02,0.72,1,0,0,
18487547,Lovely Kits Suite,8395120,Lisa & Caroline,,Kitsilano,49.25975,-123.15494,Entire home/apt,175,4,31,2022-08-29,0.49,2,8,18,22-157121
18487637,Beachfront Loghouse,34776663,Tom & Veronica,,West Point Grey,49.27381,-123.20692,Entire home/apt,806,2,148,2022-09-07,2.33,1,272,39,22-155932
18503614,"Clean, Elegant and Spacious Suite in Kits West",918437,Annamaria,,Kitsilano,49.26252,-123.18165,Entire home/apt,145,1,295,2022-08-30,4.53,1,8,20,22-156321
18504108,Contemporary-Cool Retreat with Sleek Glass and Metallics,23977001,Emma,,Downtown,49.27665,-123.1208,Entire home/apt,130,30,8,2019-10-31,0.13,12,327,0,Exempt - 30 Day Minimum Stay
18508187,"New bedroom, private washroom, free WIFI for 2",19845741,Peiyan,,Victoria-Fraserview,49.232,-123.05679,Private room,110,2,69,2022-09-05,1.06,1,36,31,22-156097
18523514,Historic Cedar Cottage Garden Suite,20535222,Katy,,Kensington-Cedar Cottage,49.24952,-123.07457,Private room,114,2,110,2022-09-05,1.71,2,89,9,22-156469
18525552,Amazing location w/parking heart of Downtown,128600667,Aurora,,Downtown,49.28138,-123.11857,Entire home/apt,125,30,19,2022-08-20,0.29,1,35,3,19-162179
18527181,"L'hermitage Residence 3 bdrm+den, 2 bath downtown",128619726,Amish,,Downtown,49.28161,-123.11777,Entire home/apt,265,30,9,2022-08-04,0.14,1,268,3,
18547923,Economy Rooms in North Vancouver,76890,Margaret,,Grandview-Woodland,49.3062,-123.06619,Private room,248,3,0,,,8,329,0,
18551005,Oasis near Commercial Drive,6050758,Tyson & Chrystal,,Grandview-Woodland,49.26922,-123.06617,Entire home/apt,96,30,34,2022-08-21,0.52,3,115,2,22-134164
18563528,Large Luxury Kitsilano Beach 2 bedroom 2 bath,89153803,Renaldo,,Kitsilano,49.27027,-123.14866,Entire home/apt,186,30,37,2022-06-25,0.57,1,330,2,
18581544,Sky High 3BR/2BTH - Spectacular Views & Parking!,2949659,Klay,,Downtown,49.2793,-123.10922,Entire home/apt,300,2,370,2022-08-26,5.68,1,122,70,22-156501
18614904,Awesome Downtown Condo +Parking Steps 2 Everything,43148443,Johnny,,Downtown,49.28031,-123.10696,Entire home/apt,287,2,163,2022-08-23,2.53,1,61,8,22-189565
18616579,Bright private garden suite off Commercial Drive,47029306,Meg,,Hastings-Sunrise,49.26823,-123.05603,Entire home/apt,117,21,81,2022-08-28,1.25,1,15,8,22-156396
18617790,Kerrisdale fully renovated 2 bedrooms,129334385,Peter,,Arbutus Ridge,49.23802,-123.16885,Entire home/apt,151,2,216,2022-08-29,3.33,2,116,44,22-156123
18638495,"Vancouver, Kitsilano condo 111 steps to Kits beach",49117689,Kimbo,,Kitsilano,49.27324,-123.15193,Entire home/apt,111,6,6,2019-06-09,0.09,1,0,0,22-156246
18638835,Luxury downtown condo,9219014,Sarah,,Downtown,49.27878,-123.10797,Entire home/apt,108,1,54,2017-12-31,0.83,1,0,0,18-605558
18650443,3 bdrm Newly renovated home Canada Line  station,5233549,Joyce,,Riley Park,49.23581,-123.10871,Entire home/apt,250,1,3,2017-08-24,0.05,4,0,0,20-185023
18655249,1 or 2 bedroom Kerrisdale Touch of Tuscany.,25601665,Raewyn,,Kerrisdale,49.23453,-123.16569,Entire home/apt,140,3,82,2022-07-01,1.27,1,20,7,21-156405
18657916,Discounted 2 Story Cozy Home - Heart of Vancouver,23441743,Tina,,South Cambie,49.25546,-123.12465,Entire home/apt,375,3,42,2022-08-27,0.67,1,333,11,22-155900
