id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
712219373991831147,Cute 2bdr 2bth in Roma Ideal For Working Remotely,478821829,Liss,,Cuauhtémoc,19.4136201,-99.16217639999999,Entire home/apt,2000,4,0,,,1,65,0,
710285991118226955,Hermosa habitación en condominio,269124621,Karmen,,Cuauhtémoc,19.446064885655222,-99.14638814456546,Private room,280,1,0,,,2,310,0,
712240400767242509,Habitaciones boutique en Virreyes,471893398,Casa Suspiros,,Miguel Hidalgo,19.415413829392843,-99.21596141680408,Private room,3150,1,0,,,12,72,0,
710291787553971705,106 Habitación a 5 minutos del AICM,355536592,Mario,,Venustiano Carranza,19.437997459527946,-99.08313514003456,Private room,350,1,0,,,21,345,0,
712245449203956114,Departamento luminoso con acceso a estacionamiento,163017764,Domi,,Cuauhtémoc,19.404607185698048,-99.1730551767022,Private room,327,1,0,,,1,317,0,
712246327749393875,Dazzling house in the heart of Coyoacan/12 guests,478833975,Nancy,,Coyoacán,19.35394268060312,-99.16257897556481,Entire home/apt,3486,2,1,2022-09-21,1,1,361,1,
710340441812183558,Cozy En-suite Bedroom in Modern Flat w/ Gym,14540309,Ioana,,Cuauhtémoc,19.41412310803306,-99.15570788309037,Private room,599,2,3,2022-09-19,3,1,324,3,
712250585519249674,Super flat | Balcony | Reforma,416155974,Yakaré,,Cuauhtémoc,19.427145503348644,-99.16099269148981,Entire home/apt,998,1,0,,,13,362,0,
710351605987880359,Nice room in an apartment close to Reforma (Diana),55009210,Helein,,Cuauhtémoc,19.424747540822388,-99.1699432112085,Private room,402,5,0,,,2,68,0,
712260408001152059,Increíble alojamiento en contenedor marítimo 86,374434784,Omar,,Azcapotzalco,19.479953220994087,-99.19046169538393,Entire home/apt,450,1,3,2022-09-15,3,10,363,3,
712276514934335371,Cozy & Fully Eqpd Studio w/Pvt Patio in Roma Nte,23468816,Alex,,Cuauhtémoc,19.42334,-99.15315,Entire home/apt,1487,1,2,2022-09-18,2,22,327,2,
710385390734884801,Habitación privada en departamento compartido,118923969,Maili,,Benito Juárez,19.37558517899625,-99.16130700299766,Private room,310,2,0,,,1,25,0,
712283670532164133,New Stunning 3BR Apt,359265212,Kukun,,Miguel Hidalgo,19.434747,-99.20067859999999,Entire home/apt,5028,2,0,,,47,322,0,
710422980328384556,Habitación exterior privada B&B casa en la condesa,455881748,Yula,,Cuauhtémoc,19.408530679449175,-99.17241947848332,Private room,470,1,0,,,5,327,0,
712294370753068681,Lindo departamento en el Centro de la CDMX,477738465,Oscar,,Cuauhtémoc,19.4390205,-99.14176750000001,Entire home/apt,960,2,0,,,1,354,0,
713937822168069844,IISLA SUITE Coyoacán,276112390,Jess,,Coyoacán,19.345153919772663,-99.15232903407778,Entire home/apt,1100,2,1,2022-09-18,1,4,3,1,
712297189376392465,Apartamento en Torre Grand Alto Polanco | CDMX,354044526,HostPal,,Miguel Hidalgo,19.439491849544265,-99.18284122778414,Entire home/apt,1422,1,0,,,16,351,0,
712298339524901089,Bonito Departamento en Nápoles cerca de WTC,397733078,Carolina,,Benito Juárez,19.397125951785718,-99.17878551603964,Entire home/apt,800,2,1,2022-09-17,1,1,330,1,
714015401008935461,"Habitación Black con Balcón ,Col.Del Valle",113703334,Marco,,Benito Juárez,19.3799774,-99.16007069999999,Private room,548,1,0,,,5,355,0,
714029489173487760,Lujosa suite&oficina   Parking gratis Polanco Cdmx,130500890,Livane,,Miguel Hidalgo,19.430188585651415,-99.17616754704243,Entire home/apt,1283,1,0,,,20,340,0,
